date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-06-08,钻石公主号邮轮,,,,,,712,0,653,13
2020-06-08,圣马丁,,,,,,77,0,60,15
2020-06-08,荷属安的列斯,,,,,,21,0,15,1
2020-06-08,安道尔,AD,,,,,852,0,738,51
2020-06-08,阿联酋,AE,,,,,38808,0,21806,276
2020-06-08,阿富汗,AF,,,,,20917,0,2171,369
2020-06-08,安提瓜和巴布达,AG,,,,,26,0,19,3
2020-06-08,安圭拉,AI,,,,,3,0,3,0
2020-06-08,阿尔巴尼亚,AL,,,,,1263,0,945,34
2020-06-08,亚美尼亚,AM,,,,,13325,0,4099,211
2020-06-08,安哥拉,AO,,,,,91,0,24,4
2020-06-08,阿根廷,AR,,,,,22794,0,7305,670
2020-06-08,奥地利,AT,,,,,16968,0,15626,672
2020-06-08,澳大利亚,AU,,,,,7265,0,6703,102
2020-06-08,阿鲁巴,AW,,,,,101,0,98,3
2020-06-08,阿塞拜疆,AZ,,,,,7553,0,4149,88
2020-06-08,波黑,BA,,,,,2704,0,2023,160
2020-06-08,巴巴多斯,BB,,,,,92,0,76,7
2020-06-08,孟加拉国,BD,,,,,68504,0,14560,930
2020-06-08,比利时,BE,,,,,59348,0,16315,9606
2020-06-08,布基纳法索,BF,,,,,890,0,765,53
2020-06-08,保加利亚,BG,,,,,2727,0,1548,160
2020-06-08,巴林,BH,,,,,15417,0,10326,26
2020-06-08,布隆迪,BI,,,,,83,0,45,1
2020-06-08,贝宁,BJ,,,,,288,0,186,4
2020-06-08,圣巴泰勒米,BL,,,,,6,0,6,0
2020-06-08,百慕大,BM,,,,,141,0,113,9
2020-06-08,文莱,BN,,,,,141,0,138,2
2020-06-08,玻利维亚,BO,,,,,13643,0,2086,465
2020-06-08,巴西,BR,,,,,691962,0,302084,37312
2020-06-08,巴哈马,BS,,,,,103,0,62,11
2020-06-08,不丹,BT,,,,,59,0,11,0
2020-06-08,博茨瓦纳,BW,,,,,40,0,23,1
2020-06-08,白俄罗斯,BY,,,,,49453,0,23880,276
2020-06-08,伯利兹,BZ,,,,,19,0,16,2
2020-06-08,加拿大,CA,,,,,95698,0,54221,7800
2020-06-08,刚果（金）,CD,,,,,4106,0,537,88
2020-06-08,中非,CF,,,,,1634,0,38,5
2020-06-08,刚果（布）,CG,,,,,683,0,210,22
2020-06-08,瑞士,CH,,,,,30972,0,28700,1923
2020-06-08,科特迪瓦,CI,,,,,3739,0,1818,36
2020-06-08,智利,CL,,,,,134150,0,95631,2190
2020-06-08,喀麦隆,CM,,,,,8060,0,4748,212
2020-06-08,中国,CN,,,,,84635,4,79865,4645
