date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-02-03,中国,CN,陕西省,610000,,,142,221,1,
2020-02-03,中国,CN,陕西省,610000,杨凌示范区,,1,,,
2020-02-03,中国,CN,陕西省,610000,西安市,610100,60,,,
2020-02-03,中国,CN,陕西省,610000,铜川市,610200,7,,,
2020-02-03,中国,CN,陕西省,610000,宝鸡市,610300,10,,,
2020-02-03,中国,CN,陕西省,610000,咸阳市,610400,11,,,
2020-02-03,中国,CN,陕西省,610000,渭南市,610500,6,,,
2020-02-03,中国,CN,陕西省,610000,韩城市,610581,1,,,
2020-02-03,中国,CN,陕西省,610000,延安市,610600,7,,,
2020-02-03,中国,CN,陕西省,610000,汉中市,610700,16,,,
2020-02-03,中国,CN,陕西省,610000,榆林市,610800,1,,,
2020-02-03,中国,CN,陕西省,610000,安康市,610900,17,,,
2020-02-03,中国,CN,陕西省,610000,商洛市,611000,5,,,
