date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-02-03,中国,CN,内蒙古自治区,150000,,,35,3,1,
2020-02-03,中国,CN,内蒙古自治区,150000,呼和浩特市,150100,4,,,
2020-02-03,中国,CN,内蒙古自治区,150000,包头市,150200,6,1,,
2020-02-03,中国,CN,内蒙古自治区,150000,乌海市,150300,1,1,,
2020-02-03,中国,CN,内蒙古自治区,150000,赤峰市,150400,2,,,
2020-02-03,中国,CN,内蒙古自治区,150000,通辽市,150500,1,,,
2020-02-03,中国,CN,内蒙古自治区,150000,鄂尔多斯市,150600,9,1,,
2020-02-03,中国,CN,内蒙古自治区,150000,呼伦贝尔市,150700,3,,1,
2020-02-03,中国,CN,内蒙古自治区,150000,巴彦淖尔市,150800,3,,,
2020-02-03,中国,CN,内蒙古自治区,150000,乌兰察布市,150900,3,,,
2020-02-03,中国,CN,内蒙古自治区,150000,兴安盟,152200,1,,,
2020-02-03,中国,CN,内蒙古自治区,150000,锡林郭勒盟,152500,2,,,
