date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-02-05,中国,CN,浙江省,330000,,,954,,81,
2020-02-05,中国,CN,浙江省,330000,杭州市,330100,151,,15,
2020-02-05,中国,CN,浙江省,330000,宁波市,330200,126,,6,
2020-02-05,中国,CN,浙江省,330000,温州市,330300,396,,28,
2020-02-05,中国,CN,浙江省,330000,嘉兴市,330400,30,,,
2020-02-05,中国,CN,浙江省,330000,湖州市,330500,9,,1,
2020-02-05,中国,CN,浙江省,330000,绍兴市,330600,33,,3,
2020-02-05,中国,CN,浙江省,330000,金华市,330700,47,,8,
2020-02-05,中国,CN,浙江省,330000,衢州市,330800,15,,2,
2020-02-05,中国,CN,浙江省,330000,舟山市,330900,7,,3,
2020-02-05,中国,CN,浙江省,330000,台州市,331000,124,,14,
2020-02-05,中国,CN,浙江省,330000,丽水市,331100,16,,1,
